Generating an artificial network
Generating 10 inlets
Starting the simulation with a timestep of 0.001s for 12 times with 4 jobs.
         1055133 function calls (1031970 primitive calls) in 68.918 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      323    0.000    0.000    0.000    0.000 __init__.py:233(bind_method)
      312    0.007    0.000    0.007    0.000 {built-in method posix.listdir}
      303    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      300    0.001    0.000    0.001    0.000 {method 'randint' of 'mtrand.RandomState' objects}
      300    0.000    0.000    0.000    0.000 rcsetup.py:125(validate_bool)
      299    0.000    0.000    0.000    0.000 __init__.py:968(__iter__)
      297    0.000    0.000    0.000    0.000 _collections_abc.py:719(__iter__)
      297    0.000    0.000    0.000    0.000 __init__.py:878(<genexpr>)
      295    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
      286    0.000    0.000    0.000    0.000 {method 'zfill' of 'str' objects}
      282    0.000    0.000    0.000    0.000 pyparsing.py:3144(<genexpr>)
      281    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      278    0.000    0.000    0.000    0.000 function_base.py:431(_add_docstring)
      278    0.001    0.000    0.002    0.000 function_base.py:438(add_newdoc)
      276    0.000    0.000    0.001    0.000 posixpath.py:121(splitext)
      276    0.000    0.000    0.001    0.000 genericpath.py:121(_splitext)
      276    0.001    0.000    0.033    0.000 __init__.py:2124(distributions_from_metadata)
      276    0.001    0.000    0.009    0.000 __init__.py:1325(safe_version)
      276    0.001    0.000    0.002    0.000 version.py:236(__str__)
      276    0.000    0.000    0.000    0.000 rcsetup.py:160(validate_float)
      268    0.000    0.000    0.000    0.000 pyplot.py:2267(pad)
      266    0.000    0.000    0.000    0.000 pyparsing.py:3270(<genexpr>)
      264    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
      263    0.000    0.000    0.000    0.000 pyparsing.py:545(__new__)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:554(__init__)
      260    0.000    0.000    0.000    0.000 six.py:88(__init__)
   260/11    0.001    0.000    0.004    0.000 pyparsing.py:1647(_parseNoCache)
      256    0.000    0.000    0.000    0.000 inspect.py:72(isclass)
      254    0.000    0.000    0.000    0.000 pyparsing.py:3882(<genexpr>)
      253    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
      252    0.000    0.000    0.000    0.000 {built-in method numpy.can_cast}
      251    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      250    0.000    0.000    0.005    0.000 traceback.py:282(line)
      250    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      249    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      248    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      245    0.001    0.000    0.001    0.000 typing.py:165(_collect_type_vars)
      244    0.000    0.000    0.005    0.000 rcsetup.py:357(validate_color_for_prop_cycle)
      242    0.002    0.000    0.025    0.000 decorator.py:258(decorator)
      241    0.000    0.000    0.001    0.000 inspect.py:171(isgeneratorfunction)
      241    0.000    0.000    0.000    0.000 inspect.py:179(iscoroutinefunction)
      241    0.000    0.000    0.001    0.000 typing.py:351(<genexpr>)
      241    0.001    0.000    0.036    0.000 decorator.py:224(decorate)
      238    0.000    0.000    0.000    0.000 ops.py:364(_get_op_name)
      236    0.000    0.000    0.000    0.000 _distn_infrastructure.py:712(<genexpr>)
      235    0.000    0.000    0.001    0.000 sre_parse.py:295(_class_escape)
      234    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      233    0.001    0.000    0.001    0.000 pyparsing.py:1400(__init__)
      231    0.001    0.000    0.006    0.000 typing.py:605(__init__)
      230    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      230    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
      230    0.000    0.000    0.000    0.000 ops.py:296(get_op)
